snapshot_id,fold_id,anchor_role,block_id,anchor_utc,cutoff_utc,cell_id,row,column,clipped_area_m2,base_event_count,parent_row,parent_column,parent_event_count,estimate_source,status,raw_mc,main_common_mc4_training_allowed,exclude_indeterminate_training_allowed,supported_area_contributor
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000008_c+0000003,8,3,10562408419.369371,3,4,1,1316,parent_1000km,supported,3.6,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c-0000006,9,-6,19945588505.432407,219,4,-3,1737,base_500km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c-0000005,9,-5,121120255925.02194,701,4,-3,1737,base_500km,supported,3.3,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c-0000004,9,-4,240075899126.91846,464,4,-2,784,base_500km,supported,3.3,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c-0000003,9,-3,244590302069.89362,161,4,-2,784,parent_1000km,supported,3.3,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c-0000002,9,-2,130797167924.60342,35,4,-1,330,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c-0000001,9,-1,31100867482.53936,1,4,-1,330,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c+0000000,9,0,38512137110.20177,6,4,0,415,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c+0000001,9,1,211120881312.65228,19,4,0,415,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c+0000002,9,2,248472443280.00296,259,4,1,1316,base_500km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c+0000003,9,3,185305983054.86414,18,4,1,1316,parent_1000km,supported,3.6,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000009_c+0000004,9,4,9425374546.9006,4,4,2,4,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000010_c-0000004,10,-4,78241710216.52547,72,5,-2,109,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000010_c-0000003,10,-3,141046179553.0188,37,5,-2,109,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000010_c+0000001,10,1,48227230349.25447,13,5,0,13,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000010_c+0000002,10,2,236920439817.02533,35,5,1,56,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000010_c+0000003,10,3,243084632671.1493,13,5,1,56,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000010_c+0000004,10,4,64022253970.34851,1,5,2,1,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000011_c+0000002,11,2,169786352112.4043,8,5,1,56,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000011_c+0000003,11,3,40973641596.34899,0,5,1,56,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000011_c+0000004,11,4,4581119547.796514,0,5,2,1,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000004_c-0000002,4,-2,20961703964.393833,146,2,-1,1759,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000004_c-0000001,4,-1,90331151902.37128,399,2,-1,1759,base_500km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000004_c+0000000,4,0,98547006665.30876,37,2,0,131,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000004_c+0000001,4,1,111974151311.93896,14,2,0,131,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000004_c+0000002,4,2,13322759354.481386,3,2,1,32,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000005_c-0000004,5,-4,201303005.47642165,0,2,-2,23,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000005_c-0000003,5,-3,23419775399.026546,23,2,-2,23,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000005_c-0000002,5,-2,88018439537.05296,536,2,-1,1759,base_500km,supported,3.6,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000005_c-0000001,5,-1,250000000000.0,678,2,-1,1759,base_500km,supported,3.3,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000005_c+0000000,5,0,250000000000.0,21,2,0,131,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000005_c+0000001,5,1,250000000000.0,59,2,0,131,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000005_c+0000002,5,2,196907565002.725,29,2,1,32,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000005_c+0000003,5,3,671816831.7331845,0,2,1,32,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000006_c-0000005,6,-5,26307687034.742226,2,3,-3,90,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000006_c-0000004,6,-4,190320594398.8866,58,3,-2,274,parent_1000km,unsupported,4.5,False,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000006_c-0000003,6,-3,238853371056.8762,49,3,-2,274,parent_1000km,unsupported,4.5,False,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000006_c-0000002,6,-2,247672469161.56644,207,3,-1,1006,base_500km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000006_c-0000001,6,-1,250000000000.0,462,3,-1,1006,base_500km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000006_c+0000000,6,0,250000000000.0,21,3,0,202,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000006_c+0000001,6,1,250000000000.0,28,3,0,202,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000006_c+0000002,6,2,249287979377.55872,38,3,1,81,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000006_c+0000003,6,3,32419323521.00597,1,3,1,81,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000007_c-0000005,7,-5,186851169308.37936,88,3,-3,90,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000007_c-0000004,7,-4,250000000000.0,76,3,-2,274,parent_1000km,unsupported,4.5,False,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000007_c-0000003,7,-3,250000000000.0,91,3,-2,274,parent_1000km,unsupported,4.5,False,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000007_c-0000002,7,-2,250000000000.0,145,3,-1,1006,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000007_c-0000001,7,-1,250000000000.0,192,3,-1,1006,parent_1000km,supported,3.2,True,True,True
