fold_id,role,horizon_days,axis,statistical_status,availability_status,evaluable,issue_count,magnitude_bin,issue_target_pair_count,unique_event_count,episode_sampling_status,touched_episode_count,anchor_target_count,subsequent_target_event_count,episode_balanced_total_weight
C_DEV_2005_2009,development,365,operational_weekly,descriptive_operational_nonindependent,available,True,209,m4_plus,36856,819,not_applicable_training_diagnostic_bin,,,,
C_DEV_2005_2009,development,365,operational_weekly,descriptive_operational_nonindependent,available,True,209,m5_6,5381,121,formal_fixed_anchor_episode_population,71,71,50,71.00000000000003
C_DEV_2005_2009,development,365,operational_weekly,descriptive_operational_nonindependent,available,True,209,m6_plus,1106,24,formal_fixed_anchor_episode_population,18,18,6,18.0
C_DEV_2005_2009,development,365,primary_exposure,primary_independent_exposure_axis,available,True,4,m4_plus,649,649,not_applicable_training_diagnostic_bin,,,,
C_DEV_2005_2009,development,365,primary_exposure,primary_independent_exposure_axis,available,True,4,m5_6,89,89,formal_fixed_anchor_episode_population,52,52,37,52.00000000000003
C_DEV_2005_2009,development,365,primary_exposure,primary_independent_exposure_axis,available,True,4,m6_plus,21,21,formal_fixed_anchor_episode_population,15,15,6,15.0
C_DEV_2010_2014,development,7,operational_weekly,descriptive_operational_nonindependent,available,True,260,m4_plus,577,577,not_applicable_training_diagnostic_bin,,,,
C_DEV_2010_2014,development,7,operational_weekly,descriptive_operational_nonindependent,available,True,260,m5_6,93,93,formal_fixed_anchor_episode_population,77,77,16,77.00000000000001
C_DEV_2010_2014,development,7,operational_weekly,descriptive_operational_nonindependent,available,True,260,m6_plus,15,15,formal_fixed_anchor_episode_population,14,14,1,14.0
C_DEV_2010_2014,development,7,primary_exposure,primary_independent_exposure_axis,available,True,44,m4_plus,89,89,not_applicable_training_diagnostic_bin,,,,
C_DEV_2010_2014,development,7,primary_exposure,primary_independent_exposure_axis,available,True,44,m5_6,10,10,formal_fixed_anchor_episode_population,10,10,0,9.0
C_DEV_2010_2014,development,7,primary_exposure,primary_independent_exposure_axis,available,True,44,m6_plus,0,0,formal_fixed_anchor_episode_population,0,0,0,0
C_DEV_2010_2014,development,30,operational_weekly,descriptive_operational_nonindependent,available,True,256,m4_plus,2445,577,not_applicable_training_diagnostic_bin,,,,
