magnitude_bin,episode_id,anchor_event_id,anchor_time_utc,anchor_magnitude,maximum_magnitude,member_count,member_time_min_utc,member_time_max_utc,member_event_ids_sha256,member_event_ids
m5_6,5a70495e26a584a7c763ee2fb2d8fc4dc1842121b66b2599edbb323fdb8c705a,eqv1_ypxg4oj4fb724bxv35m3x6rfgu,1997-10-23T12:28:30Z,5.3,5.3,1,1997-10-23T12:28:30Z,1997-10-23T12:28:30Z,19b416b0cdefdbc677e20c7deb66d5db308c93381685548e579c6d5276b7ab23,eqv1_ypxg4oj4fb724bxv35m3x6rfgu
m5_6,70c439edcdfae5ce0e491f29512880d2b0b3a0ead31123ad1a4cb5611098fd2b,eqv1_oo7pmehjypgyycxbzvgb54olev,1997-10-30T02:02:44Z,5.0,5.0,1,1997-10-30T02:02:44Z,1997-10-30T02:02:44Z,30e47afbad047df836b9111399ebc8a34e53766bb3a33529fb2f78f74bcf3295,eqv1_oo7pmehjypgyycxbzvgb54olev
m5_6,39265a1b1af2ed0c0dc8bc527aaf7fde53e2411d943588eec6ddcf4e64d6de9c,eqv1_x6uz7wwjx3o5ya3gyzqu6tv6oc,1997-11-03T02:29:47Z,5.6,5.6,1,1997-11-03T02:29:47Z,1997-11-03T02:29:47Z,f22a979a1c177ed23e34664b7f2f87ddf65b5b2f29777fa6b7c6aa58733caf7f,eqv1_x6uz7wwjx3o5ya3gyzqu6tv6oc
m5_6,8a3e7bb218011860c9d7c32c52a8f39390d76ee607555b0b5179a30908cd8579,eqv1_clslgnl7k7oibpje5j5u7zglxu,1997-11-09T00:24:51Z,5.6,5.6,1,1997-11-09T00:24:51Z,1997-11-09T00:24:51Z,79468a10c5bd8a19e5aa54b5324056c8fdda0cc6a3cd5c0257df67f73c87c013,eqv1_clslgnl7k7oibpje5j5u7zglxu
m5_6,d3f1b55591be233874891ffa6e086fd9cbe5047affb6cece273947945a309ec3,eqv1_zqwn7uyiw5wqafqwdmgej2nbj2,1997-11-09T04:18:55Z,5.1,5.1,2,1997-11-09T04:18:55Z,1997-11-13T09:58:35Z,a3d1dee53c9f1286db45342d48de0160c9d1fb6665b23de099a387ba7c6d85bc,eqv1_zqwn7uyiw5wqafqwdmgej2nbj2|eqv1_2vj73fvisrpfcf5gxgo7z5btg3
m5_6,20b871db0d914e458459fdd2aa26f9e48d8d175b4537f4232ad9d012e3b64939,eqv1_mdzbnu2qukshglvcgwchpve44l,1997-11-09T23:17:36Z,5.1,5.1,1,1997-11-09T23:17:36Z,1997-11-09T23:17:36Z,7a205cfeec2b2d231f9d3645dfd79b937788d10b1e6abac75dd153e715a5721b,eqv1_mdzbnu2qukshglvcgwchpve44l
m5_6,473edcb524e03d703f9909351c564ffcd09e079728d8c143f9a10cbc28f0147f,eqv1_nirsjgqrw2gklt2ycp37os73am,1997-11-11T22:22:43Z,5.1,5.3,3,1997-11-11T22:22:43Z,1997-12-03T12:25:52Z,e3c92ad85d42367c36ec1162e8b0f45eed630b20e5e108d8af1bc4e35f352935,eqv1_nirsjgqrw2gklt2ycp37os73am|eqv1_xhwiqbqaznsrgwnqgutjwtwtpk|eqv1_jba3oyfwk7ybimq4jl7ib6tj3k
m5_6,f8b46cc365d0763ebffb49e104b8fd1782ac548a36aeae9bac349d63407fbad9,eqv1_sdbjtpy3mssycqvhh5qf7kjz25,1997-11-13T22:35:19Z,5.5,5.5,2,1997-11-13T22:35:19Z,1997-11-19T21:58:29Z,10bd33fef9733d080218728850b9c399132de4e41322a5c4746f0859409f1dd4,eqv1_sdbjtpy3mssycqvhh5qf7kjz25|eqv1_osrxsc3ll4plqu47i7ne22nnb3
m5_6,7766918f35ec4100ab1547474e1b4a3acf0e1deb8c8a1bdc7262fca630759a41,eqv1_h7coa3skvvlndb6ia43qm7yvzr,1997-11-17T07:16:56Z,5.3,5.3,2,1997-11-17T07:16:56Z,1997-11-20T16:17:20Z,2b05f221a65356c37be4eecf857058bfe94a4a5fc94818e1fc02eefd1d6909c2,eqv1_h7coa3skvvlndb6ia43qm7yvzr|eqv1_fb4bcd3vfikqyc7jdril27qvmr
m5_6,cf4867b8f05fac49e73b8ae88ba70afcee84e7bc09e92925d868794bce60473e,eqv1_lythkxhfmayz7ekzrz7tqrs73s,1997-12-18T01:51:54Z,5.0,5.0,1,1997-12-18T01:51:54Z,1997-12-18T01:51:54Z,4f7b4432df5804d7e9b9fae2ebbdf0839f3d2b3f974bcc7fccfd467f5c417636,eqv1_lythkxhfmayz7ekzrz7tqrs73s
m5_6,80a057bb1df3728febf01c9d3eb66fc21828a2c383343ecb85b87277dd252aab,eqv1_v6leicyasrnmzskxm4yq6tglx7,1998-01-13T19:44:37Z,5.6,5.6,2,1998-01-13T19:44:37Z,1998-01-14T16:55:50Z,7bea3987121c6a76311feac26eaca88ec09e122f79af77b32a8b7a53f1b43721,eqv1_v6leicyasrnmzskxm4yq6tglx7|eqv1_3hprazjkxwb2kgsnllrxaopkmk
m5_6,01a87362161d904f25f1fc3bc486a8a0017517ae252932281f954b6730e54d16,eqv1_zxyxrjbvf7ncp3nmqxhin4odzc,1998-05-12T16:53:52Z,5.0,5.1,2,1998-05-12T16:53:52Z,1998-05-15T15:40:38Z,2cdcca758816f2ece43bad1933b67d2c84fefc7adec3a4d1b96b32215bc51230,eqv1_zxyxrjbvf7ncp3nmqxhin4odzc|eqv1_ox32gbbjgxrtmeebir46lkm225
m5_6,23b0d7077974ba4d250fd4deb8aeeb75c431447ca7951a52c3c297a06b2c31c5,eqv1_25n3bvcc4774aatvklwqkmgjoh,1998-05-29T21:28:00Z,5.5,5.5,1,1998-05-29T21:28:00Z,1998-05-29T21:28:00Z,b4a877bd4f0e4b13c470ec5e281a03862074260b1b27ff42f6ce9ba70712d832,eqv1_25n3bvcc4774aatvklwqkmgjoh
